,Pclass,Age,Sex
635,2,28.0,female
331,1,45.5,male
332,1,38.0,male
250,3,29.69911764705882,male
702,3,18.0,female
157,3,30.0,male
657,3,32.0,female
167,3,45.0,female
171,3,4.0,male
749,3,31.0,male
384,3,29.69911764705882,male
553,3,22.0,male
821,3,27.0,male
300,3,29.69911764705882,female
818,3,43.0,male
273,1,37.0,male
834,3,18.0,male
14,3,14.0,female
419,3,10.0,female
41,2,27.0,female
337,1,41.0,female
682,3,20.0,male
644,3,0.75,female
33,2,66.0,male
817,2,31.0,male
21,2,34.0,male
610,3,39.0,female
360,3,40.0,male
581,1,39.0,female
101,3,29.69911764705882,male
28,3,29.69911764705882,female
645,1,48.0,male
705,2,39.0,male
144,2,18.0,male
794,3,25.0,male
752,3,33.0,male
880,2,25.0,female
102,1,21.0,male
762,3,20.0,male
120,2,21.0,male
475,1,29.69911764705882,male
678,3,43.0,female
35,1,42.0,male
208,3,16.0,female
88,1,23.0,female
65,3,29.69911764705882,male
319,1,40.0,female
746,3,16.0,male
499,3,24.0,male
388,3,29.69911764705882,male
454,3,29.69911764705882,male
671,1,31.0,male
37,3,21.0,male
696,3,44.0,male
178,2,30.0,male
302,3,19.0,male
459,3,29.69911764705882,male
30,1,40.0,male
150,2,51.0,male
287,3,22.0,male
676,3,24.5,male
456,1,65.0,male
193,2,3.0,male
804,3,27.0,male
513,1,54.0,female
203,3,45.5,male
218,1,32.0,female
455,3,29.0,male
197,3,42.0,male
338,3,45.0,male
603,3,44.0,male
335,3,29.69911764705882,male
865,2,42.0,female
737,1,35.0,male
169,3,28.0,male
770,3,24.0,male
443,2,28.0,female
516,2,34.0,female
334,1,29.69911764705882,female
188,3,40.0,male
421,3,21.0,male
583,1,36.0,male
440,2,45.0,female
751,3,6.0,male
807,3,18.0,female
461,3,34.0,male
659,1,58.0,male
398,2,23.0,male
738,3,29.69911764705882,male
34,1,28.0,male
288,2,42.0,male
263,1,40.0,male
111,3,14.5,female
160,3,44.0,male
230,1,35.0,female
140,3,29.69911764705882,female
172,3,1.0,female
47,3,29.69911764705882,female
556,1,48.0,female
68,3,17.0,female
741,1,36.0,male
309,1,30.0,female
665,2,32.0,male
180,3,29.69911764705882,female
245,1,44.0,male
2,3,26.0,female
520,1,30.0,female
352,3,15.0,male
594,2,37.0,male
718,3,29.69911764705882,male
100,3,28.0,female
211,2,35.0,female
555,1,62.0,male
320,3,22.0,male
164,3,1.0,male
199,2,24.0,female
739,3,29.69911764705882,male
138,3,16.0,male
709,3,29.69911764705882,male
46,3,29.69911764705882,male
12,3,20.0,male
480,3,9.0,male
244,3,30.0,male
757,2,18.0,male
758,3,34.0,male
221,2,27.0,male
163,3,17.0,male
622,3,20.0,male
196,3,29.69911764705882,male
855,3,18.0,female
542,3,11.0,female
414,3,44.0,male
39,3,14.0,female
663,3,36.0,male
402,3,21.0,female
17,2,29.69911764705882,male
354,3,29.69911764705882,male
296,3,23.5,male
137,1,37.0,male
125,3,12.0,male
57,3,28.5,male
791,2,16.0,male
283,3,19.0,male
558,1,39.0,female
24,3,8.0,female
3,1,35.0,female
379,3,19.0,male
687,3,19.0,male
685,2,25.0,male
297,1,2.0,female
95,3,29.69911764705882,male
186,3,29.69911764705882,female
370,1,25.0,male
868,3,29.69911764705882,male
514,3,24.0,male
668,3,43.0,male
712,1,48.0,male
417,2,18.0,female
339,1,45.0,male
73,3,26.0,male
527,1,29.69911764705882,male
564,3,29.69911764705882,female
799,3,30.0,female
122,2,32.5,male
305,1,0.92,male
76,3,29.69911764705882,male
385,2,18.0,male
771,3,48.0,male
465,3,38.0,male
4,3,35.0,male
428,3,29.69911764705882,male
496,1,54.0,female
441,3,20.0,male
726,2,30.0,female
673,2,31.0,male
522,3,29.69911764705882,male
801,2,31.0,female
867,1,31.0,male
852,3,9.0,female
732,2,29.69911764705882,male
116,3,70.5,male
404,3,20.0,female
699,3,42.0,male
312,2,26.0,female
806,1,39.0,male
493,1,71.0,male
261,3,3.0,male
571,1,53.0,female
747,2,30.0,female
508,3,28.0,male
426,2,28.0,female
681,1,27.0,male
363,3,35.0,male
851,3,74.0,male
639,3,29.69911764705882,male
98,2,34.0,female
839,1,29.69911764705882,male
592,3,47.0,male
519,3,32.0,male
259,2,50.0,female
643,3,29.69911764705882,male
391,3,21.0,male
26,3,29.69911764705882,male
708,1,22.0,female
825,3,29.69911764705882,male
666,2,25.0,male
168,1,29.69911764705882,male
264,3,29.69911764705882,female
375,1,29.69911764705882,female
803,3,0.42,male
139,1,24.0,male
866,2,27.0,female
672,2,70.0,male
861,2,21.0,male
660,1,50.0,male
863,3,29.69911764705882,female
614,3,35.0,male
268,1,58.0,female
471,3,38.0,male
262,1,52.0,male
638,3,41.0,female
748,1,19.0,male
347,3,29.69911764705882,female
329,1,16.0,female
11,1,58.0,female
202,3,34.0,male
850,3,4.0,male
853,1,16.0,female
731,3,11.0,male
282,3,16.0,male
251,3,29.0,female
152,3,55.5,male
293,3,24.0,female
458,2,50.0,female
106,3,21.0,female
189,3,36.0,male
371,3,18.0,male
212,3,22.0,male
228,2,18.0,male
884,3,25.0,male
240,3,29.69911764705882,female
888,3,29.69911764705882,female
763,1,36.0,female
58,2,5.0,female
488,3,30.0,male
13,3,39.0,male
486,1,35.0,female
427,2,19.0,female
274,3,29.69911764705882,female
452,1,30.0,male
598,3,29.69911764705882,male
183,2,1.0,male
575,3,19.0,male
142,3,24.0,female
570,2,62.0,male
45,3,29.69911764705882,male
753,3,23.0,male
71,3,16.0,female
233,3,5.0,female
429,3,32.0,male
545,1,64.0,male
554,3,22.0,female
149,2,42.0,male
602,1,29.69911764705882,male
438,1,64.0,male
684,2,60.0,male
862,1,48.0,female
840,3,20.0,male
733,2,23.0,male
700,1,18.0,female
29,3,29.69911764705882,male
430,1,28.0,male
420,3,29.69911764705882,male
92,1,46.0,male
811,3,39.0,male
848,2,28.0,male
355,3,28.0,male
617,3,26.0,female
567,3,29.0,female
518,2,36.0,female
191,2,19.0,male
569,3,32.0,male
90,3,29.0,male
515,1,47.0,male
66,2,29.0,female
411,3,29.69911764705882,male
325,1,36.0,female
219,2,30.0,male
246,3,25.0,female
216,3,27.0,female
23,1,28.0,male
396,3,31.0,female
822,1,38.0,male
769,3,32.0,male
815,1,29.69911764705882,male
126,3,29.69911764705882,male
715,3,19.0,male
795,2,39.0,male
425,3,29.69911764705882,male
374,3,3.0,female
266,3,16.0,male
143,3,19.0,male
857,1,51.0,male
780,3,13.0,female
107,3,29.69911764705882,male
121,3,29.69911764705882,male
192,3,19.0,female
773,3,29.69911764705882,male
686,3,14.0,male
547,2,29.69911764705882,male
86,3,16.0,male
85,3,33.0,female
521,3,22.0,male
621,1,42.0,male
243,3,22.0,male
551,2,27.0,male
112,3,22.0,male
448,3,5.0,female
346,2,40.0,female
54,1,65.0,male
222,3,51.0,male
317,2,54.0,male
788,3,1.0,male
568,3,29.69911764705882,male
306,1,29.69911764705882,female
597,3,49.0,male
79,3,30.0,female
114,3,17.0,female
735,3,28.5,male
844,3,17.0,male
606,3,30.0,male
195,1,58.0,female
260,3,29.69911764705882,male
800,2,34.0,male
104,3,37.0,male
237,2,8.0,female
32,3,29.69911764705882,female
451,3,29.69911764705882,male
48,3,29.69911764705882,male
754,2,48.0,female
201,3,29.69911764705882,male
721,3,17.0,male
147,3,9.0,female
524,3,29.69911764705882,male
836,3,21.0,male
474,3,22.0,female
416,2,34.0,female
590,3,35.0,male
373,1,22.0,male
766,1,29.69911764705882,male
15,2,55.0,female
303,2,29.69911764705882,female
579,3,32.0,male
548,3,33.0,male
292,2,36.0,male
380,1,42.0,female
231,3,29.0,male
324,3,29.69911764705882,male
113,3,20.0,female
879,1,56.0,female
84,2,17.0,female
131,3,20.0,male
489,3,9.0,male
841,2,16.0,male
481,2,29.69911764705882,male
565,3,24.0,male
798,3,30.0,male
275,1,63.0,female
856,1,45.0,female
110,1,47.0,male
648,3,29.69911764705882,male
835,1,39.0,female
364,3,29.69911764705882,male
25,3,38.0,female
50,3,7.0,male
755,2,0.67,male
424,3,18.0,male
280,3,65.0,male
64,1,29.69911764705882,male
182,3,9.0,male
200,3,28.0,male
18,3,31.0,female
717,2,27.0,female
299,1,50.0,female
694,1,60.0,male
51,3,21.0,male
236,2,44.0,male
27,1,19.0,male
796,1,49.0,female
649,3,23.0,female
442,3,25.0,male
573,3,29.69911764705882,female
532,3,17.0,male
270,1,29.69911764705882,male
295,1,29.69911764705882,male
307,1,17.0,female
736,3,48.0,female
315,3,26.0,female
497,3,29.69911764705882,male
467,1,56.0,male
495,3,29.69911764705882,male
20,2,35.0,male
217,2,42.0,male
809,1,33.0,female
159,3,29.69911764705882,male
716,1,38.0,female
877,3,19.0,male
435,1,14.0,female
405,2,34.0,male
366,1,60.0,female
549,2,8.0,male
646,3,19.0,male
740,1,29.69911764705882,male
609,1,40.0,female
176,3,29.69911764705882,male
756,3,28.0,male
485,3,29.69911764705882,female
713,3,29.0,male
78,2,0.83,male
99,2,34.0,male
323,2,22.0,female
258,1,35.0,female
624,3,21.0,male
561,3,40.0,male
849,1,29.69911764705882,female
401,3,26.0,male
776,3,29.69911764705882,male
743,3,24.0,male
220,3,16.0,male
446,2,13.0,female
187,1,45.0,male
457,1,29.69911764705882,female
607,1,27.0,male
205,3,2.0,female
777,3,5.0,female
768,3,29.69911764705882,male
365,3,30.0,male
629,3,29.69911764705882,male
670,2,40.0,female
637,2,31.0,male
587,1,60.0,male
229,3,29.69911764705882,female
450,2,36.0,male
656,3,29.69911764705882,male
512,1,36.0,male
368,3,29.69911764705882,female
286,3,30.0,male
62,1,45.0,male
91,3,20.0,male
864,2,24.0,male
466,2,29.69911764705882,male
103,3,33.0,male
151,1,22.0,female
55,1,29.69911764705882,male
72,2,21.0,male
870,3,26.0,male
109,3,29.69911764705882,female
74,3,32.0,male
784,3,25.0,male
831,2,0.83,male
530,2,2.0,female
316,2,24.0,female
301,3,29.69911764705882,male
690,1,31.0,male
170,1,61.0,male
87,3,29.69911764705882,male
383,1,35.0,female
482,3,50.0,male
566,3,19.0,male
377,1,27.0,male
349,3,42.0,male
381,3,1.0,female
326,3,61.0,male
619,2,26.0,male
223,3,29.69911764705882,male
348,3,3.0,male
588,3,22.0,male
470,3,29.69911764705882,male
207,3,26.0,male
118,1,24.0,male
750,2,4.0,female
860,3,41.0,male
873,3,47.0,male
38,3,18.0,female
252,1,62.0,male
792,3,29.69911764705882,female
498,1,25.0,female
227,3,20.5,male
165,3,9.0,male
808,2,39.0,male
141,3,22.0,female
281,3,28.0,male
6,1,54.0,male
509,3,26.0,male
330,3,29.69911764705882,female
781,1,17.0,female
501,3,21.0,female
492,1,55.0,male
0,3,22.0,male
153,3,40.5,male
886,2,27.0,male
257,1,30.0,female
790,3,29.69911764705882,male
584,3,29.69911764705882,male
745,1,70.0,male
650,3,29.69911764705882,male
832,3,29.69911764705882,male
10,3,4.0,female
604,1,35.0,male
536,1,45.0,male
44,3,19.0,female
630,1,80.0,male
241,3,29.69911764705882,female
531,3,29.69911764705882,male
129,3,45.0,male
232,2,59.0,male
249,2,54.0,male
782,1,29.0,male
175,3,18.0,male
707,1,42.0,male
9,2,14.0,female
19,3,29.69911764705882,female
576,2,34.0,female
422,3,29.0,male
291,1,19.0,female
654,3,18.0,female
226,2,19.0,male
616,3,34.0,male
523,1,44.0,female
382,3,32.0,male
703,3,25.0,male
783,3,29.69911764705882,male
875,3,15.0,female
824,3,2.0,male
785,3,25.0,male
695,2,52.0,male
247,2,24.0,female
70,2,32.0,male
298,1,29.69911764705882,male
742,1,21.0,female
677,3,18.0,female
546,2,19.0,female
376,3,22.0,female
710,1,24.0,female
277,2,29.69911764705882,male
786,3,18.0,female
528,3,39.0,male
490,3,29.69911764705882,male
392,3,28.0,male
704,3,26.0,male
842,1,30.0,female
580,2,25.0,female
772,2,57.0,female
453,1,49.0,male
813,3,6.0,female
533,3,29.69911764705882,female
655,2,24.0,male
184,3,4.0,female
830,3,15.0,female
760,3,29.69911764705882,male
724,1,27.0,male
872,1,33.0,male
460,1,48.0,male
289,3,22.0,female
797,3,31.0,female
711,1,29.69911764705882,male
179,3,36.0,male
63,3,4.0,male
827,2,1.0,male
105,3,28.0,male
729,3,25.0,female
433,3,17.0,male
574,3,16.0,male
256,1,29.69911764705882,female
214,3,29.69911764705882,male
69,3,26.0,male
190,2,32.0,female
313,3,28.0,male
802,1,11.0,male
517,3,29.69911764705882,male
225,3,22.0,male
618,2,4.0,female
318,1,31.0,female
234,2,24.0,male
403,3,28.0,male
408,3,21.0,male
445,1,4.0,male
529,2,23.0,male
462,1,47.0,male
600,2,24.0,female
469,3,0.75,female
80,3,22.0,male
693,3,25.0,male
156,3,16.0,female
444,3,29.69911764705882,male
390,1,36.0,male
210,3,24.0,male
96,1,71.0,male
878,3,29.69911764705882,male
413,2,29.69911764705882,male
395,3,22.0,male
612,3,29.69911764705882,female
627,1,21.0,female
387,2,36.0,female
820,1,52.0,female
145,2,19.0,male
340,2,2.0,male
505,1,18.0,male
393,1,23.0,female
53,2,29.0,female
620,3,27.0,male
661,3,40.0,male
837,3,29.69911764705882,male
321,3,27.0,male
605,3,36.0,male
560,3,29.69911764705882,male
60,3,22.0,male
761,3,41.0,male
826,3,29.69911764705882,male
83,1,28.0,male
727,3,29.69911764705882,female
431,3,29.69911764705882,female
641,1,24.0,female
625,1,61.0,male
765,1,51.0,female
559,3,36.0,female
359,3,29.69911764705882,female
628,3,26.0,male
52,1,49.0,female
397,2,46.0,male
478,3,22.0,male
651,2,18.0,female
279,3,35.0,female
238,2,19.0,male
535,2,7.0,female
667,3,29.69911764705882,male
7,3,2.0,male
706,2,45.0,female
787,3,8.0,male
633,1,29.69911764705882,male
294,3,24.0,male
81,3,29.0,male
722,2,34.0,male
541,3,9.0,female
674,2,29.69911764705882,male
883,2,28.0,male
539,1,22.0,female
367,3,29.69911764705882,female
133,2,29.0,female
680,3,29.69911764705882,female
8,3,27.0,female
290,1,26.0,female
93,3,26.0,male
472,2,33.0,female
557,1,29.69911764705882,male
764,3,16.0,male
526,2,50.0,female
658,2,23.0,male
484,1,25.0,male
479,3,2.0,female
596,2,29.69911764705882,female
491,3,21.0,male
502,3,29.69911764705882,female
358,3,29.69911764705882,female
356,1,22.0,female
812,2,35.0,male
132,3,47.0,female
885,3,39.0,female
